"ZCTA","Post Office Name","State","HCP: Health Center Count ( Combined ) 2019","HCP: Dominant Health Center 2019","Pop: Total (#) 2015-2019","Pop: Low-Income (#) 2015-2019","HCP: Total Patients (#) 2019","HCP: Penetration of Low-Income (%)","HCP: Penetration of Total Population (%)","HCP: Penetration of Uninsured Population (%)","HCP: Penetration of Medicaid/ Public Ins. (%)","HCP: Penetration of Medicare/ Private Ins. (%)","HCP: 1-yr Change in Patients (%) 2018, 2019","HCP: 2-yr Change in Patients (%) 2017, 2019","HCP: 2-yr Change in Patients (#) 2017, 2019","HCP: 1-yr Change in Uninsured (%) 2018, 2019","HCP: 2-yr Change in Uninsured (%) 2017, 2019","HCP: 1-yr Change in Medicaid/ Public Ins. (%) 2018, 2019","HCP: 2-yr Change in Medicaid/ Public Ins. (%) 2017, 2019","HCP: 1-yr Change in Medicare/ Private Ins. (%) 2018, 2019","HCP: 2-yr Change in Medicare/ Private Ins. (%) 2017, 2019","HCP: Low-Income Not Served by Health Centers (#)","HCP: Uninsured Not Served by Health Centers (#)","HCP: Medicaid/ Public Ins. Not Served by Health Centers (#)","HCP: Medicare/ Private Ins. Not Served by Health Centers (#)","HCP: Total Population Not Served by Health Centers (#)","HCP: Uninsured (%) 2019","HCP: Uninsured (#) 2019","HCP: Medicaid/ Public Ins (%) 2019","HCP: Medicaid/ Public Ins (#) 2019","HCP: Medicare/ Private Ins. (%) 2019","HCP: Medicare/ Private Ins. (#) 2019","Pop: Poverty (%) 2015-2019","Pop: Low-Income (%) 2015-2019","Pop: Racial/ Ethnic Minority (%) 2015-2019","Pop: Hispanic/Latino (%) 2015-2019","Pop: Black (%) 2015-2019","Pop: Asian (%) 2015-2019","Pop: American Indian/Alaska Native (%) 2015-2019","Pop: Native Hawaiian (%) 2015-2019","Pop: Other Pacific Islander (%) 2015-2019","Pop: White (%) 2015-2019","Pop: More than One Race (%) 2015-2019","Pop: Uninsured, Est. (%) 2019","Pop: Uninsured, Est. (#) 2019","Pop: 1-yr Change in Uninsured, Est. (%) 2018, 2019","Pop: 2-yr Change in Uninsured, Est. (%) 2017, 2019","Pop: Medicaid/ Public Ins., Est. (%) 2019","Pop: Medicaid/ Public Ins., Est. (#) 2019","Pop: 1-yr Change in Medicaid/ Public Ins., Est. (%) 2018, 2019","Pop: 2-yr Change in Medicaid/ Public Ins., Est. (%) 2017, 2019","Pop: Medicare/ Private Ins., Est. (%) 2019","Pop: Medicare/ Private Ins., Est. (#) 2019","Pop: 1-yr Change in Medicare/ Private Ins., Est. (%) 2018, 2019","Pop: 2-yr Change in Medicare/ Private Ins., Est. (%) 2017, 2019","Pop: 1-yr Change in Total Population (%) 2018, 2019","Pop: 2-yr Change in Total Population (%) 2017, 2019","Pop: Under 18 (%) 2015-2019","Pop: School-Aged Children (%) 2015-2019","Pop: 18-64 (%) 2015-2019","Pop: 65 and older (%) 2015-2019","Pop: Not Employed (%) 2015-2019","Pop: Households with Limited English Proficiency (%) 2015-2019","Pop: Less Than High School Education (%) 2015-2019","Pop: Veterans (%) 2015-2019","Pop: Disability (%) 2015-2019","Pop: Low Birth Weight Rate, Est. 2017","Pop: Age-Adjusted Mortality Rate (per 100,000), Est. 2013-2016","Pop: Adults Ever Told Have Diabetes, Est. (%) 2017","Pop: Adults Ever Told Have High Blood Pressure, Est. (%) 2017","Pop: Adults Who Are Obese, Est. (%) 2017","Pop: Adults with No Dental Visit in Past Year, Est. (%) 2017","Pop: Adults Who Have Delayed/ Not Sought Care Due to Cost, Est. (%) 2017","Pop: Adults with No Usual Source of Care, Est. (%) 2017","Pop: Adults Who Are Binge Drinkers, Est. (%) 2017","Pop: Adults Who Smoke, Est. (%) 2017","Pop: Uninsured Population below 138% FPL (%) 2015-2019","Pop: Uninsured Population below 200% FPL (%) 2015-2019","Pop: Uninsured Population at 138%-400% FPL (%) 2015-2019","HCP: Dominant Health Center Serving ZCTA (Share of Patients) 2019","HCP: #2 Health Center Serving ZCTA 2019","HCP: #2 Health Center (Share of Patients) 2019","HCP: #3 Health Center Serving ZCTA 2019","HCP: #3 Health Center (Share of Patients) 2019","HCP: #4 Health Center Serving ZCTA 2019","HCP: #4 Health Center Serving ZCTA (Share of Patients) 2019","HCP: #5 Health Center Serving ZCTA 2019","HCP: #5 Health Center (Share of Patients) 2019"
"Summary:","","","","","11599299","4044823","779034","0.19260026952971737","0.06716216212721131","0.26212293866719877","0.12580414094569284","0.02864827079464529","0.031365924309782856","0.04841049602859519","35972","0.03592021112852068","0.04728002601607822","0.009730762593803793","-0.01978737660979277","0.04809038104902201","0.1285433729095336","3265789","843088","1667095","8124822","10820265","0.3844479188328109","299498","0.30795703396770874","239909","0.3075950471994804","239627","0.1586757901006384","0.3577550854523695","0.2970461404607296","0.049621964223872495","0.20913987991860541","0.01590052985098496","0.0037972984401902217","0.00016751012281000774","0.00036321160442540535","0.735785843610032","0.02074530538440297","0.10010356544252215","1142586","-0.004629323111769318","0.06773460124866484","0.16707530086413758","1907004","-0.024357251281967324","-0.04313845913000545","0.7328211336933402","8364449","0.014034605770958318","0.017025261094208884","0.006045135473465213","0.012004406324083635","0.2246031419657343","0.16411431414950162","0.6133196497477994","0.16207720828646627","0.43540855855293653","0.014163155830971389","0.1307018020557008","0.08511539930787997","0.1901381003905622","0.09027226418621377","0.008678154415421711","0.15216714518353394","0.4134339078136906","0.34651973804424796","0.336206023966057","0.16262585116599837","0.2162610100188841","0.12384309738139156","0.2160342282582989","","","","","","","","","","","",""
"37345","Huntland","TN","0","null","2587","1093","0","null","null","null","null","null","null","null","0","null","null","null","null","null","null","1093","258","454","1794","2587","0","0","0","0","0","0","0.07775629","0.42282398","0.10552764","0.0715114","0.02280634","0","0.000387","0","0","0.89833784","0.011","0.102952913","258","0.2585365854","0.3650793651","0.1811652035","454","0.0657276995","0.2897727273","0.7158818835","1794","0.0436300175","-0.031840259","0.0257731959","0.0507717303","0.229","0.178","0.6","0.1716273676","0.415698","0","0.20355","0.084","0.17","0.06442303955554962","0.008716390380859374","0.14199999809265137","0.3940000152587891","0.38099998474121094","0.37200000762939456","0.16200000762939454","0.23899999618530274","0.13199999809265137","0.28","0.368","0.437","0.606","0","null","0","null","0","null","0","null","0"
"37347","Jasper","TN","3","ERLANGER MEDICAL CENTER","8107","2911","90","0.0309172106","0.0111015172","0.0399543379","0.0081047382","0.0080475187","0.2162162162","0.3235294118","22","0.1290322581","0.25","0.0833333333","-0.380952381","0.3548387097","1.2105263158","2821","841","1591","5177","8017","0.3888888889","35","0.1444444444","13","0.4666666667","42","0.17127767","0.36607143","0.0980634","0.03009745","0.02787714","0.0029604","0.000987","0","0","0.91673862","0.037","0.1137810105","876","0.2372881356","0.1005025126","0.2083387453","1604","0.0275464446","0.5648780488","0.6778802442","5219","-0.039919058","-0.078566384","0.0299834837","0.0564242898","0.239","0.178","0.567","0.1946466017","0.440381","0.0024161885","0.195024","0.059","0.253","0.09454573690891266","0.009815639038085938","0.12300000190734864","0.37799999237060544","0.335","0.509000015258789","0.14600000381469727","0.21700000762939453","0.135","0.22","0.545","0.676","0.395","0.4444444444","CHEROKEE HEALTH SYSTEMS","0.2888888889","PRIMARY HEALTH CARE CENTER OF DADE, INC","0.2666666667","null","0","null","0"
"37348","Kelso","TN","0","null","951","343","0","null","null","null","null","null","null","null","0","null","null","null","null","null","null","343","114","211","765","951","0","0","0","0","0","0","0.26288118","0.36067298","0","0","0","0","0","0","0","1","0","0.104587156","114","-0.017241379","0.2666666667","0.1935779817","211","-0.045248869","0.1593406593","0.7018348624","765","-0.017971759","-0.050868486","0.2130102041","0.0554938957","0.149","0.125","0.754","0.0967402734","0.392467","0","0.261694","0.049","0.329","0.06090209260582924","0.009413603515625","0.11199999809265136","0.38099998474121094","0.34200000762939453","0.425","0.13899999618530273","0.2","0.13800000190734862","0.21899999618530275","1","1","0","0","null","0","null","0","null","0","null","0"
"37352","Lynchburg","TN","0","null","3383","1108","0","null","null","null","null","null","null","null","0","null","null","null","null","null","null","1108","297","440","2569","3383","0","0","0","0","0","0","0.0941105","0.33636916","0.09725096","0.00413834","0.0404966","0.04522613","0.00739","0","0","0.90688738","0","0.0898366606","297","0.2073170732","0.2801724138","0.1330913491","440","-0.118236473","0.0972568579","0.7770719903","2569","0.0296593186","-0.033483822","0.1062786135","0.0804854679","0.221","0.158","0.591","0.187703222","0.461737","0.0312035661","0.147352","0.119","0.175","0.07751435041427612","0.006438200073242187","0.11800000190734863","0.3890000152587891","0.32299999237060545","0.17399999618530274","0.12699999809265136","0.195","0.14300000190734863","0.21299999237060546","0.279","0.408","0.439","0","null","0","null","0","null","0","null","0"
"37359","Mulberry","TN","0","null","1016","456","0","null","null","null","null","null","null","null","0","null","null","null","null","null","null","456","77","119","605","1016","0","0","0","0","0","0","0.12893701","0.4488189","0.09251969","0","0.05511811","0","0.031496","0","0","0.90748031","0.006","0.0961298377","77","0.2833333333","0.4","0.1485642946","119","0.0720720721","0.3222222222","0.7553058677","605","0.0341880342","0.013400335","0.3403693931","0.6050552923","0.183","0.15","0.644","0.1732283465","0.488731","0","0.223377","0.114","0.305","0.06622303277254105","0.008430454711914063","0.12300000190734864","0.405","0.34900001525878904","0.34099998474121096","0.13600000381469726","0.19799999237060548","0.13399999618530273","0.22","0.484","0.739","0.516","0","null","0","null","0","null","0","null","0"
"37098","Lyles","TN","3","PERRY COUNTY MEDICAL CENTER, INC.","6760","3260","863","0.2647239264","0.1276627219","0.3389544688","0.3033472803","0.0930232558","0.0164899882","-0.133534137","-133","0.0151515152","-0.118421053","-0.090909091","-0.343891403","0.1204819277","0.1411042945","2397","392","666","3627","5897","0.2329084589","201","0.33603708","290","0.4310544612","372","0.20205327","0.48504687","0.09304734","0.04955621","0.03594675","0","0.015237","0","0","0.94393491","0.005","0.1068853641","593","-0.155270655","0.2201646091","0.1723143475","956","-0.092979127","-0.091254753","0.7208002884","3999","0.0534773446","0.0136882129","-0.006174655","0.0840282232","0.293","0.218","0.605","0.1020710059","0.381745","0","0.198411","0.107","0.266","0.07391836494207382","0.009502618408203125","0.13399999618530273","0.41","0.335","0.22200000762939454","0.13600000381469726","0.19399999618530273","0.12699999809265136","0.23399999618530273","0.462","0.784","0.45","0.9524913094","MERCY HEALTH SERVICES, INC.","0.0243337196","MAURY REGIONAL HOSPITAL","0.023174971","null","0","null","0"
"37374","Sequatchie","TN","1","OCOEE REGIONAL HEALTH CORPORATION","2071","944","11","0.0116525424","0.0053114437","0.0084388186","0.0071090047","0.0043478261","-0.214285714","-0.266666667","-4","-0.333333333","0","-0.5","-0.625","0.2","0.2","933","235","419","1374","2060","0.1818181818","2","0.2727272727","3","0.5454545455","6","0.18928054","0.45581845","0.01255432","0","0","0","0","0","0","0.98744568","0.013","0.1162334478","237","0.2950819672","0.0921658986","0.2069641981","422","0.0168674699","0.5289855072","0.6768023541","1380","-0.087301587","-0.078771696","-0.138160633","-0.004805382","0.162","0.112","0.693","0.1448575567","0.456583","0","0.179986","0.084","0.311","0.09363756328821182","0.009668699340820312","0.10899999618530273","0.3629999923706055","0.325","0.509000015258789","0.12899999618530272","0.19299999237060547","0.14399999618530274","0.21700000762939453","0.602","0.887","0.398","1","null","0","null","0","null","0","null","0"
"37375","Sewanee","TN","0","null","4100","610","0","null","null","null","null","null","null","null","0","null","null","null","null","null","null","610","224","299","2112","4100","0","0","0","0","0","0","0.09202454","0.24948875","0.1202439","0.03487805","0.02219512","0.01804878","0","0","0","0.91195122","0.046","0.0850094877","224","0.009009009","0.0418604651","0.1134724858","299","-0.256218905","-0.211081794","0.8015180266","2112","0.0347868692","-0.022674688","0.0193933366","-0.014423077","0.093","0.077","0.725","0.1824390244","0.478421","0.0118613139","0.083712","0.052","0.138","0.06784769147634506","0.008728348388671875","0.10199999809265137","0.29700000762939455","0.295","0.38299999237060545","0.14800000190734863","0.27399999618530274","0.14300000190734863","0.23399999618530273","0.471","0.557","0.386","0","null","0","null","0","null","0","null","0"
"37376","Sherwood","TN","0","null","283","96","0","null","null","null","null","null","null","null","0","null","null","null","null","null","null","96","23","28","230","283","0","0","0","0","0","0","0.14487633","0.33922261","0.05300353","0.00706714","0","0","0","0","0","0.9540636","0.046","0.0818505338","23","0","0.0454545455","0.0996441281","28","-0.317073171","-0.317073171","0.8185053381","230","0.0502283105","0.0043668122","-0.193732194","-0.101587302","0.039","0.039","0.636","0.3250883392","0.558719","0","0.217054","0.059","0.603","0.06841614097356796","0.008901942749023438","0.15399999618530275","0.4379999923706055","0.385","0.37","0.14300000190734863","0.19200000762939454","0.12","0.27600000381469725","0","0","0","0","null","0","null","0","null","0","null","0"
